UTC format,success percent,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,10,0)",0.928571429,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,9,0)",0.928571429,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,4,0)",0.901639344,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,3,0)",0.875,,,,,,,,,,,,,,,,,,,
"Date.UTC(1982,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1996,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1998,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,8,0)",0.894736842,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,7,0)",0.857142857,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,5,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1998,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2011,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,10,0)",0.947368421,,,,,,,,,,,,,,,,,,,
"Date.UTC(2012,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,9,0)",0.914285714,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,9,0)",0.904761905,,,,,,,,,,,,,,,,,,,
"Date.UTC(2010,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,1,0)",0.931818182,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2013,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1998,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,10,0)",0.947368421,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,7,0)",0.892857143,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,11,0)",0.901098901,,,,,,,,,,,,,,,,,,,
"Date.UTC(1974,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1995,12,0)",0.666666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(1996,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,6,0)",0.916666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(1998,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1840,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,12,0)",0.970149254,,,,,,,,,,,,,,,,,,,
"Date.UTC(1995,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,5,0)",1,,,,,,,,,,,,,,,,,,,
