Document Index (generated),Category Code,Number Of Employees,Acquired,Competitors,No of Investors,State Code,Blog Url,Homepage Url,Money
3742,education,5,1,9,3,AZ,1,1,1.7
3745,mobile,0,1,0,4,WA,0,1,18
3746,games_video,5,0,0,1,CA,0,1,0
3748,finance,25,1,2,5,CA,1,1,6
3749,web,0,0,0,1,IN,0,1,0
3750,software,0,1,0,3,CA,1,1,7.5
3752,software,11,0,0,1,FL,1,1,0
3753,advertising,0,0,0,3,CA,0,1,0
3754,hardware,0,0,0,1,CA,0,1,0
3756,mobile,10,0,0,1,GA,0,1,0
3757,enterprise,3,0,0,1,NH,1,1,0
3758,consulting,4,0,0,1,MI,1,1,0
3759,web,0,0,0,1,CA,1,1,0
3760,software,6,0,4,1,NY,1,1,0.2
3762,mobile,15,0,0,1,WA,1,1,0
3766,software,6,1,2,8,NY,1,1,0.56
3767,software,20,0,0,1,CA,1,1,0
3768,web,0,0,2,1,MN,0,0,0
3770,web,5,0,5,1,FL,1,1,0
3771,enterprise,10,0,0,1,MA,1,1,0
3773,misc,0,0,0,1,CA,0,1,0
3774,web,131,0,0,1,WA,1,1,0
3777,software,12,0,0,1,CA,0,1,0
3781,misc,0,0,0,1,CA,0,1,0
3782,other,6,0,0,1,CA,1,1,0
3783,games_video,5,1,0,1,CA,0,1,0
3785,public_relations,12,0,0,1,NY,1,1,0
3788,search,0,0,0,1,CA,1,1,0
3793,web,6,0,0,1,TX,0,1,0
3794,search,0,0,0,1,FL,1,1,0
3796,other,4,0,0,1,CA,0,1,0
3797,biotech,5,0,0,4,CA,0,1,0.25
3798,mobile,2,0,2,1,NY,1,1,0
3799,web,0,1,0,13,CA,0,1,70.5
3800,mobile,0,0,0,2,CA,1,1,4.9
3802,public_relations,0,0,0,1,WA,0,1,0
3806,web,0,0,0,1,FL,0,1,0
3810,web,1,0,0,1,IL,0,1,0
3811,games_video,0,0,0,1,CA,1,1,0
3812,web,0,0,0,1,CA,1,1,0
3815,games_video,60,0,2,1,CA,1,1,0
3819,games_video,0,0,4,1,CT,0,1,0
3820,misc,15,0,0,1,CA,0,1,0
3821,software,4,1,0,1,IL,1,1,0
3823,other,0,0,0,1,NY,0,1,0
3828,web,0,1,3,3,CA,1,1,18
3829,advertising,0,0,2,1,CA,1,1,0
3830,analytics,0,0,0,8,MA,1,1,14.5
3832,software,0,0,3,1,CA,1,1,5
3833,software,30,0,0,1,TX,1,1,0
3837,hardware,0,0,0,12,CA,0,1,37.5
3838,network_hosting,0,0,4,1,IL,1,1,0
3839,web,0,0,0,1,FL,1,1,0
3840,games_video,0,0,0,1,FL,0,1,0
3841,software,56,1,0,3,MA,0,1,16
3842,advertising,20,0,0,5,NY,0,1,10.2
3844,web,0,0,0,1,CA,0,1,0
3847,other,4,0,0,1,OR,0,1,0
3848,ecommerce,0,0,0,1,WA,0,1,0
3849,advertising,0,1,0,8,MA,0,1,42
3851,web,1,0,0,1,CA,1,1,0
3852,automotive,0,0,0,5,CA,0,1,10.6
3853,games_video,0,0,0,4,FL,0,1,1.84
3856,mobile,0,0,0,2,MO,0,1,5
3857,web,1,0,0,1,MA,1,1,0
3861,software,140,0,5,2,CA,1,1,55
3866,ecommerce,18,1,0,2,CA,0,1,0.025
3867,ecommerce,0,0,0,1,GA,1,1,0
3869,software,8,0,0,1,WA,1,1,0
3870,advertising,0,1,0,1,TX,1,1,0
3871,web,0,0,0,1,IL,0,1,0
3872,software,45,0,0,6,CA,1,1,25.5
3873,games_video,0,0,0,1,NY,1,1,7
3874,software,0,0,0,1,GA,1,1,0
3877,web,0,0,0,8,CA,1,1,28.1
3879,biotech,0,0,0,1,CA,0,1,0.18
3880,advertising,0,0,0,1,NV,0,1,0
3882,consulting,0,0,0,1,GA,0,1,0
3883,mobile,0,0,0,1,CO,0,1,0
3889,games_video,0,0,6,1,CA,0,1,1.5
3890,misc,105,0,4,2,NY,0,0,48
3891,web,0,0,0,1,NY,1,1,0
3896,analytics,100,0,6,12,CA,1,1,37.6
3898,software,228,0,0,6,CA,1,1,20.5
3899,web,25,0,0,1,CA,1,1,2
3901,mobile,0,0,2,1,IL,0,1,0
3902,advertising,11,0,0,1,OR,0,1,0
3909,games_video,0,0,0,3,CA,1,1,2
3910,software,47,0,4,1,CO,1,1,0
3912,software,0,0,0,1,WA,1,1,0
3913,public_relations,9,0,0,2,CA,1,1,0.3
3914,mobile,30,0,2,11,CA,0,1,27.1
3918,software,20,0,0,1,IL,1,1,1.2
3919,software,0,0,0,1,IL,0,1,0
3922,software,0,0,2,1,VA,0,1,2
3923,software,40,0,3,1,TX,1,1,0.25
3926,web,3,1,0,1,NY,1,1,0
3927,web,0,0,0,1,NH,0,1,0
3928,misc,0,0,0,1,NH,0,1,0
3929,web,22,0,0,4,NY,1,1,1.5
3930,ecommerce,5,0,0,1,NY,1,1,0
3931,web,0,0,0,1,TX,1,1,0
3932,software,18,1,0,1,NY,0,1,0
3933,mobile,0,0,0,1,CA,0,1,0
3935,hardware,0,0,0,1,TN,0,1,0
3938,misc,0,0,0,1,DC,0,1,0
3941,search,1,0,0,1,MN,1,1,0
3942,web,2,0,0,1,NY,1,1,0
3943,enterprise,350,0,4,5,UT,1,1,37
3944,public_relations,2,0,2,1,GA,1,1,0
3945,other,1,0,0,1,WA,0,1,0
3948,games_video,0,0,0,5,CA,0,1,26.8
3949,public_relations,12,0,0,1,NY,0,1,0
3950,software,10,0,0,1,VA,0,1,0
3951,public_relations,20,0,0,1,MN,1,1,0
3953,software,9,0,7,1,UT,0,1,0
3955,misc,0,0,0,1,AZ,0,1,0
3956,web,0,0,0,1,MA,0,1,0
3958,web,2,0,0,1,CA,0,1,0
3959,automotive,0,0,0,1,MA,1,1,0
3960,web,1,0,0,1,NV,1,1,0
3966,software,0,0,0,1,MA,1,1,0
3968,web,21,1,2,3,CA,0,1,6
3970,games_video,0,0,0,1,NY,0,1,0
3973,enterprise,430,0,2,9,CO,1,1,68.9
3976,enterprise,30,1,0,11,MD,1,1,24
3977,cleantech,0,0,2,23,CA,1,1,845
3978,cleantech,0,0,3,1,CA,0,1,0
3981,mobile,22,0,13,1,TX,1,1,0
3986,software,6,0,0,1,TN,0,1,0
3988,software,20,0,0,1,MD,0,1,0
3989,advertising,30,0,0,1,WA,1,1,0
3990,ecommerce,12,0,0,2,NM,1,1,1.3
3991,web,5,0,0,1,CA,0,1,0
3993,search,12,0,0,1,VA,0,1,0
3994,mobile,54,0,0,1,CA,0,1,0
3995,public_relations,3,0,0,1,CO,1,1,0
3996,web,2,0,0,1,CA,1,1,0
3997,web,0,0,0,1,CA,0,1,0
3998,games_video,35,0,5,1,FL,1,1,0
3999,web,2,0,0,1,WA,1,1,0
4000,web,4,0,0,1,CA,1,1,0
4001,other,0,0,0,1,IA,0,1,0
4003,advertising,13,1,3,2,CA,1,1,6
4004,cleantech,0,0,0,9,CA,0,1,123
4006,software,0,0,0,1,WA,1,1,0
4007,software,0,1,0,1,MA,0,0,0
4008,misc,0,1,0,1,CA,0,1,0
4011,web,0,0,0,1,VA,0,1,1.68
4014,software,40,1,0,3,MA,0,1,13.1
4015,hardware,13,0,0,1,CA,0,1,0
4021,enterprise,380,1,0,4,MA,0,1,19.1
4022,ecommerce,70,0,0,11,LA,1,1,39.8
4023,network_hosting,2,0,0,1,AZ,1,1,0
4024,mobile,0,1,0,4,NY,0,1,9
4025,web,10,0,0,1,CA,0,1,0
4028,games_video,0,0,0,1,CA,0,1,0
4029,software,65,0,0,1,VA,0,1,0
4036,web,0,0,0,1,DC,0,1,0
4037,network_hosting,8,0,0,1,FL,1,1,0
4041,web,0,1,0,1,CO,0,1,0
4042,advertising,25,0,0,1,OH,0,1,0
4044,other,2,0,0,1,TX,0,1,0
4047,software,5,0,0,1,IN,1,1,0
4050,software,350,0,6,6,AZ,1,1,72.9
4053,mobile,15,1,0,9,CA,1,1,2.8
4054,health,280,0,6,53,CA,1,1,155
4056,misc,0,0,0,1,CA,0,1,0
4058,web,0,0,0,1,CA,0,1,0
4063,misc,0,1,0,1,TX,0,0,0
4064,software,75,0,0,1,TX,1,1,0
4066,web,8,0,0,1,NY,1,1,0
4068,web,0,1,0,3,CA,0,1,3.05
4069,music,20,0,4,8,MA,1,1,5.43
4070,other,2,0,0,1,CA,1,1,0
4071,web,0,0,4,14,UT,1,1,53
4072,games_video,8,0,0,1,PA,0,1,0
4074,web,8,0,3,1,CA,0,1,0
4075,search,0,0,0,1,TX,0,1,0
4078,games_video,0,0,2,1,CA,0,1,0
4080,software,0,1,4,1,AZ,1,1,0
4081,software,0,1,0,2,CA,0,0,6.5
4082,software,120,0,0,1,NY,0,1,0
4084,web,0,1,0,5,DC,0,1,4.65
4085,mobile,60,0,0,1,NY,0,1,0
4087,other,17,0,0,1,SC,1,1,0
4089,web,0,0,5,1,CA,1,1,0
4090,other,7,0,0,1,CA,1,1,0
4093,security,0,1,0,2,IL,0,1,4.7
4094,cleantech,0,0,0,1,MN,0,1,90
4095,software,0,0,0,7,CA,0,1,0
4096,web,0,0,2,4,NY,1,1,12
4097,software,460,0,0,10,OH,1,1,96.2
4100,games_video,1,0,0,1,CA,0,1,0
4107,other,0,0,0,1,TX,0,1,0
4109,web,3,0,0,1,CO,1,1,0
4110,web,0,0,0,1,KS,0,1,0
4111,cleantech,40,0,0,7,IL,0,1,31
4114,other,5,0,0,1,NY,1,1,0
4119,other,24,0,0,1,MO,0,1,1.25
4120,enterprise,0,1,4,4,CA,1,1,9.4
4122,ecommerce,2,0,0,1,FL,0,1,0
4124,software,5,0,0,1,MD,0,1,0
4126,consulting,20,1,0,1,VT,1,1,0
4127,enterprise,2,0,0,1,GA,0,1,0.01
4129,network_hosting,0,0,0,1,CA,1,1,0
4130,web,0,0,0,1,CA,1,1,0
4131,mobile,3,0,2,1,CA,1,1,0
4132,enterprise,5,0,0,1,CA,0,1,0.055
4134,software,0,1,0,4,CA,1,1,9.9
4135,software,40,0,2,13,MD,1,1,45.6
4136,games_video,0,1,0,1,NY,1,1,0
4140,software,1000,0,0,1,WA,0,0,0
4145,web,6,0,3,1,CA,0,1,0
4148,web,22,0,3,2,UT,1,1,7.2
4149,software,40,0,0,2,CO,0,1,2
4150,other,250,1,0,1,CA,0,1,0
4151,consulting,2,0,0,1,CA,1,1,0
4152,games_video,0,1,6,1,CA,0,1,0
4155,public_relations,0,0,0,1,FL,0,0,0
4156,software,214,0,0,1,TX,1,1,0
4157,mobile,15,0,2,2,CA,1,1,2.24
4160,web,0,0,0,1,CA,1,1,0
4161,other,4,0,9,1,CA,1,1,0
4162,hardware,8,0,0,1,CA,1,1,0
4163,games_video,18,0,3,19,CA,1,1,1
4164,web,0,0,0,1,CA,0,1,0
4168,other,0,0,0,1,GA,0,1,0
4169,web,0,0,0,1,MA,0,1,0
4170,web,0,0,0,1,CA,0,1,0
4180,ecommerce,3,0,0,1,AZ,1,1,0.35
4181,advertising,0,0,0,1,DC,0,1,0
4182,enterprise,8,0,5,1,CA,1,1,0
4183,advertising,0,0,0,1,CA,1,1,0
4185,music,0,1,6,3,CA,1,1,0.375
4186,consulting,200,0,0,8,MA,1,1,38.5
4190,software,0,0,15,1,DC,1,1,0
4191,mobile,7,0,0,2,CA,1,1,0.7
4196,enterprise,0,1,0,1,CA,0,1,0
4199,other,300,0,0,1,TX,0,1,5.33
4206,games_video,9,0,0,1,VA,0,1,0
4207,other,0,0,0,1,PA,1,1,0
4209,other,15,0,0,1,CA,0,1,0
4214,mobile,0,0,0,1,CA,0,1,0
4222,enterprise,150,0,4,21,CA,1,1,64.8
4223,web,25,0,0,1,CA,1,1,9.4
4225,software,100,0,0,1,TX,1,1,0
4226,advertising,7,0,0,1,NY,0,1,0
4228,web,0,0,0,1,CA,1,1,0
4230,web,0,0,0,1,CA,0,1,0
4233,web,0,1,0,1,CA,1,1,0
4235,advertising,0,0,0,1,NY,1,1,0
4237,software,0,0,3,1,MA,1,1,0
4239,advertising,0,0,0,1,TX,0,1,0
4241,cleantech,0,0,0,13,CA,0,1,102
4242,web,5,0,0,1,UT,0,1,0.08
4244,software,0,0,2,2,MA,0,1,11
4245,software,0,0,0,4,MT,1,1,19
4246,security,700,0,2,3,CA,0,1,45.6
4250,search,100,0,0,3,CA,1,1,24
4251,web,0,0,0,1,CA,0,1,0
4260,web,0,0,5,1,CA,1,1,0
4262,other,0,0,0,1,TX,1,1,0
4264,web,15,0,0,1,CA,1,1,0
4268,web,480,0,0,1,MI,1,1,0
4272,web,0,0,0,1,NY,0,1,0
4273,web,0,1,0,1,CA,0,1,0
4274,enterprise,0,0,0,1,OH,0,1,0
4275,advertising,0,0,0,3,OH,1,1,0.75
4276,web,15,0,4,1,WA,1,1,2
4277,web,0,0,3,1,IA,1,1,0
4278,other,50,0,0,1,GA,0,1,0
4279,web,0,0,0,1,CA,0,1,0
4284,web,3,1,0,1,CA,1,1,0
4287,software,45,0,0,1,CA,0,1,0
4289,web,25,0,0,1,CO,1,1,0
4292,misc,5,0,0,1,NE,1,1,0
4296,advertising,120,1,0,1,VA,1,1,0
4297,games_video,0,0,0,1,NY,1,1,0
4298,mobile,0,0,0,1,CA,0,1,0
4300,web,0,1,2,1,FL,1,1,3.01
4303,software,0,1,0,1,CA,0,1,0
4305,web,0,1,0,3,CA,0,1,10
4307,advertising,0,0,0,1,CA,0,1,0
4308,network_hosting,0,0,0,1,OR,1,1,0
4309,consulting,0,0,0,1,OR,0,1,0
4311,web,6,0,4,2,CA,1,1,3.53
4312,software,0,0,0,7,CA,0,0,10
4314,software,0,1,0,1,MA,0,1,0
4315,enterprise,150,0,9,15,CA,1,1,56.5
4321,games_video,0,1,0,1,CA,0,1,0
4323,enterprise,3,0,0,1,CA,1,1,0
4326,misc,0,0,0,1,CA,0,0,0
4327,misc,0,1,0,11,CA,0,0,1.5
4328,software,0,1,0,1,CA,0,1,0
4329,misc,0,0,0,1,NY,0,1,0
4330,other,0,0,0,1,NY,1,1,0
4331,web,10,0,0,1,NY,1,1,0
4334,network_hosting,4,0,3,1,MD,1,1,0
4336,network_hosting,6,0,0,1,NY,1,1,0
4337,advertising,0,0,0,1,NV,1,1,0
4339,advertising,3,0,0,1,NY,0,1,0
4340,advertising,8,0,0,1,TX,1,1,0
4341,web,2,0,0,1,OK,0,1,0
4345,web,4,0,0,1,NY,1,1,0
4346,misc,0,0,0,1,UT,0,1,0
4347,enterprise,245,0,0,1,WA,0,0,0
4350,web,0,0,0,1,CA,0,1,0
4352,public_relations,11,0,0,1,GA,1,1,0
4358,mobile,25,0,0,1,CA,0,1,0
4359,enterprise,0,1,0,3,CA,1,1,11.5
4361,software,100,0,0,1,AZ,0,1,0
4362,advertising,350,0,7,15,CA,0,1,34.5
4365,web,4,0,0,1,NC,0,1,0.3
4366,software,0,0,0,1,NJ,0,1,0
4367,public_relations,0,0,0,1,CA,1,1,0
4369,mobile,10,0,0,2,CA,1,1,9.1
4371,web,5,0,3,2,WA,0,1,1.2
4373,software,9,0,0,1,MN,1,1,0.6
4375,web,130,0,0,1,NY,1,1,0
4376,advertising,50,0,7,1,AZ,1,1,0
4377,web,0,0,0,1,VA,0,1,0
4383,ecommerce,12,0,2,2,MN,0,1,0.55
4385,ecommerce,4,0,0,1,CA,1,1,0
4386,consulting,0,0,0,1,FL,0,1,0
4390,web,6,0,0,1,MA,1,1,0
4391,software,0,1,0,14,CA,0,1,68
4392,software,20,0,0,1,CA,1,1,0
4396,ecommerce,0,0,0,1,VA,0,1,0
4399,mobile,51,0,0,1,CA,1,1,0
4400,enterprise,0,0,0,1,OR,0,1,0
4401,public_relations,1,0,0,1,MN,1,1,2.3
4402,games_video,4,1,4,1,PA,0,1,0
4406,enterprise,12,0,0,1,MA,1,1,0
4408,other,0,0,0,1,NJ,0,1,0
4409,software,1,0,0,1,TX,1,1,0
4410,software,40,0,0,6,CA,1,1,20.9
4411,web,5,0,0,5,CA,1,1,0.75
4412,ecommerce,0,0,0,1,CA,1,1,0
4440,web,30,0,0,1,CA,1,1,0
4441,advertising,150,0,0,1,MA,0,1,0
4442,web,1,0,0,1,OK,0,1,0
4445,web,0,0,2,1,CA,1,1,0
4446,software,3,0,3,1,TX,1,1,0
4447,software,9,0,0,1,NY,0,1,0
4449,web,1,0,7,1,MN,1,1,0
4450,misc,0,0,0,1,SC,0,0,0
4453,public_relations,25,0,0,1,CA,0,1,1
4454,biotech,0,0,0,1,NY,0,1,0
4455,web,45,0,0,9,NY,0,1,29.8
4456,other,1,0,0,1,SC,1,1,0
4457,web,5,0,0,1,PA,0,1,0
4458,software,30,1,0,1,CA,0,1,5
4461,network_hosting,5,0,0,1,PA,1,1,0
4463,consulting,20,0,0,1,WI,0,1,0
4465,consulting,0,0,0,1,CA,0,1,0
4466,consulting,8,0,3,1,FL,1,1,0
4468,advertising,0,0,3,1,WA,1,1,0
4470,web,0,0,0,1,PA,1,1,0
4474,semiconductor,75,0,0,15,TX,1,1,73
4476,consulting,0,0,0,1,MO,0,1,0
4477,games_video,3,0,2,1,AZ,1,1,0
4479,software,0,0,0,1,RI,1,1,0
4480,consulting,11,0,0,1,CA,0,1,0
4486,network_hosting,0,1,0,1,CA,0,0,0
4487,enterprise,5,0,0,1,MI,0,1,0
4490,hardware,0,0,0,1,MA,0,1,0
4491,hardware,5,0,0,2,CA,1,1,0.6
4493,software,3,0,0,1,CA,0,1,0
4494,consulting,2,0,0,1,MO,1,1,0
4495,games_video,100,0,2,1,NY,0,1,10
4496,advertising,50,0,0,1,WI,1,1,0
4498,web,26,1,0,3,NC,1,1,2.6
4514,other,10,0,0,1,CA,1,1,0
4516,consulting,500,0,0,1,TX,1,1,0
4517,games_video,0,1,0,1,CA,0,1,0
4518,mobile,0,0,0,3,PA,0,1,2.1
4519,games_video,3,0,0,1,CA,1,1,0
4524,web,0,0,2,1,UT,1,1,0
4525,network_hosting,0,0,0,1,UT,0,1,0.15
4526,web,25,0,0,1,FL,1,1,0.3
4527,web,0,0,0,1,FL,1,1,0
4528,games_video,0,1,2,1,CA,1,1,0
4529,enterprise,0,0,0,11,NY,0,1,16
4531,consulting,5,0,0,1,CA,0,1,0
4533,web,4,0,4,1,CA,1,1,0
4537,web,0,1,0,1,NY,0,1,6
4539,web,17,0,0,1,OH,0,1,0
4542,public_relations,0,1,0,1,CT,0,1,0
4543,mobile,140,0,0,3,CA,0,1,6
4544,software,350,0,0,1,CA,0,1,0
4545,software,0,0,0,1,MI,0,1,0
4548,enterprise,36,0,0,11,NC,1,1,32.5
4549,search,0,0,2,1,KY,0,1,0
4551,software,2,0,0,1,MD,1,1,0
4553,consulting,4,0,0,1,CA,0,1,0
4554,enterprise,240,0,6,11,CA,1,1,71.2
4562,software,25,0,0,1,MD,0,1,0
4563,misc,0,0,0,1,CA,0,1,0
4568,mobile,10,0,0,1,WI,1,1,0
4570,software,3,0,0,1,MA,0,1,0
4571,advertising,2,0,3,1,GA,1,1,0
4574,web,0,0,0,1,NJ,1,1,0
4578,software,15,0,0,1,MA,1,1,0
4581,public_relations,15,0,0,1,FL,0,1,0
4584,ecommerce,20,0,0,1,VT,1,1,0
4585,software,0,0,0,1,CA,0,1,0
4590,nonprofit,0,0,0,1,IL,0,1,0.07
4591,other,0,0,0,1,VA,0,1,0
4592,games_video,0,0,0,3,CA,0,1,21.4
4595,enterprise,0,0,0,1,MO,1,1,0
4600,software,25,0,2,1,TX,1,1,0
4601,software,215,0,0,1,VA,1,1,10
4603,web,0,0,0,1,IL,0,1,0
4604,enterprise,0,0,3,8,CA,1,1,42.5
4607,web,0,0,0,1,MA,1,1,0
4608,advertising,12,0,2,1,CA,1,1,0
4609,ecommerce,0,1,0,1,NJ,0,1,0
4610,games_video,0,1,0,1,CA,0,1,0
4612,web,100,1,0,13,CO,1,1,33.7
4613,software,5,0,0,1,TX,1,1,0
4614,games_video,10,0,3,5,NY,1,1,8.66
4617,ecommerce,4,0,0,1,FL,1,1,0
4620,software,5,0,0,1,TX,1,1,0
4622,mobile,5,0,10,2,WA,1,1,0.245
4628,hardware,0,0,0,1,CA,0,1,0
4629,security,145,0,0,1,NY,0,1,0
4630,mobile,12,1,0,4,NY,0,1,1.42
4635,hardware,10,0,0,2,NY,1,1,2.1
4636,enterprise,100,0,0,11,TX,0,1,33.9
4638,software,50,0,0,2,VA,1,1,10
4639,web,15,0,0,1,CA,1,1,0
4641,misc,0,1,0,1,MI,1,1,0
4642,ecommerce,0,1,9,1,CA,1,1,0
4644,consulting,10,0,0,1,TX,0,1,0
4649,software,5,0,0,1,CA,0,1,0
4654,software,60,1,0,5,MA,0,1,13.5
4656,games_video,50,0,10,1,FL,0,1,0
4658,network_hosting,0,0,0,2,CA,0,0,1.3
4660,web,10,0,5,2,CA,1,1,1
4661,web,0,0,0,1,CA,1,1,0
4662,software,3,0,0,1,CA,0,1,0.01
4664,web,1,1,0,1,MA,0,1,0
4668,software,60,0,0,1,CA,1,1,0
4671,mobile,0,0,0,1,CA,1,1,0
4674,web,2,0,0,1,CA,0,1,0
4681,software,0,0,9,1,NY,0,1,2.3
4682,web,25,0,3,1,CA,1,1,0.8
4684,software,30,0,0,1,IL,1,1,0
4685,software,0,0,8,1,VA,1,1,0
4688,software,30,0,0,1,CA,1,1,0
4692,other,15,0,0,1,CA,0,1,0
4694,enterprise,0,0,0,5,NJ,1,1,28.1
4696,analytics,4,0,0,1,WA,0,1,0
4698,games_video,0,0,0,1,NY,0,1,0
4699,web,130,1,6,1,WA,1,1,8
4700,web,0,1,4,2,NY,0,1,5.32
4701,advertising,0,0,3,1,NY,0,1,0
4703,games_video,0,0,0,1,WA,0,1,0
4704,cleantech,0,0,0,7,GA,0,1,55.5
4710,software,120,0,3,1,NY,0,1,0
4711,advertising,3,0,0,1,FL,1,1,0
4712,enterprise,0,0,0,1,CA,0,1,0
4713,software,0,0,0,1,CA,1,1,0
4716,search,8,0,2,1,TX,0,1,0
4719,ecommerce,10,0,0,2,FL,0,1,3.5
4720,cleantech,0,0,0,1,CA,1,1,0
4721,software,0,0,0,4,NC,1,1,8
4723,advertising,4,0,0,1,MA,0,1,0
4727,web,0,0,0,1,OH,0,1,0
4728,public_relations,0,0,0,1,NY,0,1,0
4731,mobile,11,0,0,1,CA,1,1,0
4733,other,3,0,0,1,VA,1,1,0
4734,web,9,1,13,23,CA,1,1,10.1
4736,enterprise,0,0,0,1,MA,0,1,0
4737,advertising,0,0,0,1,CA,0,1,0
4738,software,0,0,0,1,MO,1,1,0
4739,software,30,0,0,1,MI,0,1,0
4740,ecommerce,4,0,0,1,CA,1,1,0
4741,advertising,0,0,0,1,AZ,1,1,0
4742,public_relations,0,1,0,5,MA,0,1,9.2
4743,other,3,0,0,1,FL,0,1,0
4744,mobile,0,0,0,8,MA,0,1,50.7
4748,advertising,0,0,0,1,SC,1,1,0
4749,games_video,17,0,0,1,AZ,0,1,0
4755,software,25,1,0,1,CA,0,1,0
4759,other,0,0,0,1,PA,0,1,0
4760,mobile,0,0,0,1,TX,1,1,0
4772,software,0,0,0,2,TX,0,1,0.55
4773,ecommerce,12,0,0,1,CO,0,1,1.98
4774,games_video,0,0,0,2,NY,1,1,6
4777,web,0,0,0,1,PA,0,1,0.025
4778,games_video,0,0,0,1,CA,0,1,0
4779,software,0,0,0,1,NC,1,1,0
4780,public_relations,0,0,0,1,MI,1,1,0.3
4781,games_video,0,1,0,1,CA,0,1,0
4783,search,0,1,0,1,CA,0,1,0
4785,games_video,0,0,0,1,CA,1,1,0
4788,software,0,0,0,1,MD,1,1,0
4789,security,0,0,0,1,MA,1,1,3
4792,software,0,0,3,1,NY,0,1,0
4793,music,150,0,2,2,WA,1,1,0
4802,misc,0,1,0,1,CA,0,1,0
4813,search,50,0,0,1,CA,0,1,0
4819,software,0,1,0,1,CA,0,0,0
4824,software,0,1,0,5,CA,0,1,22
4827,web,0,0,6,1,CA,0,1,0
4829,web,0,0,0,1,GA,0,1,0
4830,web,0,0,0,1,CA,1,1,0
4831,web,0,0,0,1,PA,0,1,0
4832,web,0,0,12,1,CO,0,1,0
4834,web,0,0,0,1,DC,1,1,2
4835,ecommerce,0,0,0,1,WA,0,1,0
4836,web,2,0,4,1,FL,1,1,0
4838,web,0,0,0,1,CA,1,1,0
4839,software,62,1,10,8,MA,1,1,33.2
4845,web,20,1,0,1,TX,0,1,0
4846,web,1,0,0,1,WA,1,1,0
4848,web,0,0,0,1,MN,1,1,0.5
4849,web,3,0,0,11,CA,1,1,1.1
4852,web,12,0,7,1,CA,1,1,2.2
4857,web,0,0,0,1,TX,0,1,0
4858,mobile,1,0,2,1,MA,1,1,0
4861,software,10,0,0,1,MI,1,1,0
4863,web,15,0,0,1,NJ,0,1,25
4866,games_video,10,0,0,1,NY,0,1,0
4868,consulting,6,0,0,1,TX,0,1,0.125
4869,software,0,1,0,1,CA,0,1,0
4870,software,89,0,0,1,NY,0,1,0
4873,other,1,0,4,1,CA,1,1,0
4874,other,0,0,0,1,PA,0,1,0
4875,network_hosting,0,1,0,1,CA,0,1,0
4877,advertising,3,0,0,1,OR,0,1,0
4878,games_video,0,0,5,1,NY,0,1,0
4879,web,0,0,7,1,MD,1,1,0
4881,public_relations,5,0,0,1,CA,0,1,0
4882,public_relations,3,0,0,1,UT,1,1,0
4884,software,0,0,0,1,VA,0,1,0
4894,web,0,1,0,1,MA,0,1,0
4895,other,0,0,0,1,CA,0,1,0
4898,software,15,0,0,1,TX,0,1,0
4901,games_video,0,0,0,1,TN,1,1,0
4906,web,0,0,0,1,CA,0,1,0
4907,web,0,0,0,8,CA,1,1,1.3
4909,misc,0,0,0,1,NY,1,1,0
4910,web,3,0,3,1,AZ,1,1,0
4915,mobile,0,0,0,11,CA,1,1,27
4916,cleantech,40,0,3,1,CA,0,1,0
4918,mobile,50,0,0,1,NY,1,1,0
4929,software,1,0,0,1,NE,1,1,0
4931,network_hosting,102,0,4,1,CA,1,1,0
4935,web,4,0,4,1,GA,1,1,0
4937,consulting,0,0,0,1,NY,0,1,0
4940,ecommerce,1,0,0,1,CA,0,1,0
4943,web,7,0,0,1,NE,0,1,0
4944,software,150,0,0,12,CA,0,1,50.1
4946,software,0,0,0,1,CA,0,1,0
4947,hardware,0,0,0,3,CA,0,1,26.2
4948,software,0,0,0,1,IL,0,1,0
4952,advertising,50,0,0,1,MA,1,1,0
4953,software,7,0,0,1,IL,1,1,0
4955,other,0,0,0,1,NY,0,1,0
4963,web,35,0,0,5,CA,1,1,16
4964,enterprise,40,0,0,1,TX,1,1,0
4966,other,2,0,11,1,PA,1,1,0
4969,software,20,0,0,1,WA,0,1,0
4971,advertising,10,0,0,1,MI,0,1,0
4978,software,800,0,0,2,FL,1,1,7
4979,software,12,0,0,1,VA,1,1,0
4980,web,0,0,3,1,CO,1,1,0
4981,software,25,0,0,1,HI,1,1,0
4982,software,20,1,0,1,OH,0,1,0
4983,enterprise,4,0,0,1,IN,1,1,0
4984,consulting,8,0,0,1,CA,1,1,0
4987,ecommerce,1,0,0,1,TX,0,1,0
4988,enterprise,0,0,0,1,TN,0,1,0
4990,messaging,0,0,0,8,CA,1,1,12.7
4991,ecommerce,5,0,0,1,WA,1,1,0
4993,cleantech,0,0,0,7,NH,1,1,161
4995,consulting,15,0,0,1,CA,0,1,0
4996,games_video,0,0,0,1,NJ,1,1,0
4997,web,0,1,0,1,GA,1,1,0
4998,web,8,0,0,1,CA,0,1,0
4999,analytics,9,0,0,1,NY,0,1,0
5001,software,36,0,0,1,PA,1,1,1.5
5002,games_video,0,1,0,1,CA,0,1,0
5003,misc,0,0,0,1,TN,0,1,0
5004,software,0,0,0,1,CA,0,1,0
5005,consulting,32,0,0,1,CA,0,1,0
5010,consulting,500,0,4,1,CA,0,1,0
5011,public_relations,0,0,0,1,CA,0,1,0
