Document Index (generated),Category Code,Number Of Employees,Acquired,Competitors,No of Investors,State Code,Blog Url,Homepage Url,Money
171,network_hosting,0,1,4,2,CA,1,1,11
172,web,0,0,3,1,CA,1,1,0
173,advertising,0,0,0,1,NY,1,1,0
176,web,2,1,0,1,CA,0,1,0
177,advertising,230,0,3,3,PA,1,1,12.7
178,enterprise,50,0,8,13,CA,1,1,46.8
179,software,600,0,3,12,TX,1,1,131
180,search,0,1,5,1,TX,0,1,0.3
181,software,120,0,9,8,CA,1,1,55.6
183,social,120,1,7,15,CA,1,1,40.1
185,web,75,0,0,1,CA,1,1,0
186,web,4,1,0,4,WA,1,1,0
187,games_video,100,1,7,4,CA,1,1,52
189,social,162,0,3,7,CA,1,1,28.7
190,advertising,40,1,2,9,MA,0,1,17.5
191,public_relations,20,0,29,1,IL,1,1,0
193,web,0,1,16,3,CT,1,1,5
194,mobile,30,1,4,10,CA,1,1,21.5
195,web,0,0,3,1,CA,1,1,0
197,other,50,0,11,1,OK,1,1,0
198,web,11,0,0,1,CA,1,1,2.7
200,web,0,1,6,2,MA,0,1,5
201,search,11,0,0,1,NY,1,1,0
202,public_relations,52,0,0,1,PA,0,1,0
203,web,15,0,0,3,CA,1,1,1.75
204,games_video,58,0,2,4,CA,0,1,12
205,games_video,0,0,2,1,CA,1,1,0
206,software,0,0,3,1,CA,1,1,0
208,web,0,0,2,1,CA,0,1,0
209,social,25,1,8,21,CA,1,1,44.7
210,games_video,0,0,4,3,CA,0,1,5
211,advertising,20,1,0,4,CA,0,1,7.3
213,network_hosting,0,1,5,1,CA,1,1,0
214,web,7,0,0,4,CA,0,1,2
215,web,1,0,0,1,CA,1,1,0
216,games_video,20,0,0,10,CA,1,1,34
217,software,5,0,0,1,AZ,1,1,0
218,web,0,0,5,2,CA,1,1,2.06
219,enterprise,30,1,9,1,CA,1,1,0
220,web,0,0,0,1,CA,0,1,0
221,ecommerce,10,1,2,3,WA,1,1,1.3
222,public_relations,0,0,3,1,MI,0,1,0
223,advertising,0,0,0,1,OH,1,1,0
224,web,0,1,0,1,CA,0,1,0
225,web,0,0,0,1,CA,0,1,0
226,games_video,0,0,0,4,CA,1,1,7.5
228,software,130,0,8,22,WA,1,1,31.1
229,games_video,0,0,4,2,CA,0,1,1.75
231,photo_video,10,1,0,1,NY,0,1,0
232,web,0,0,0,1,NY,1,1,0
235,ecommerce,0,0,0,1,CA,0,1,1
236,web,4,1,7,3,CO,1,1,0.515
237,advertising,75,0,0,10,MD,1,1,34
238,web,0,1,16,1,CA,1,1,0.1
240,web,0,0,3,15,CA,1,1,24.8
241,ecommerce,0,0,17,1,WA,0,1,8
242,games_video,20,0,0,4,WA,1,1,10.6
243,web,0,1,4,5,CA,1,1,11.9
244,web,4,0,10,3,CA,1,1,0.315
246,semiconductor,0,0,0,1,CA,1,1,0
247,advertising,8,0,6,1,CA,0,1,4
248,enterprise,220,0,24,28,MA,1,1,103
249,network_hosting,200,0,2,25,CA,1,1,82.7
251,web,0,0,0,1,CA,1,1,1.5
252,web,0,1,6,1,WA,0,1,0
253,mobile,0,0,10,22,CA,0,1,145
254,mobile,0,0,3,1,CA,0,1,0
255,web,0,1,8,1,WA,1,1,0
257,web,0,0,0,1,CA,0,1,5.5
258,hardware,85,1,8,7,CA,1,1,36
260,web,0,0,0,1,CA,0,1,0
263,games_video,0,0,5,20,MA,1,1,9
264,games_video,0,0,0,1,CA,0,1,0
265,news,0,0,0,1,NY,0,1,1.5
266,games_video,0,1,2,4,CA,0,1,0.6
267,web,0,0,14,1,CA,1,1,0
268,news,0,0,0,1,NY,1,1,0
270,network_hosting,0,1,6,5,CA,1,1,43.5
271,web,0,0,5,1,CA,0,1,0
272,web,0,0,0,1,CA,0,1,0
273,web,0,0,4,1,GA,1,1,0
274,web,150,0,0,9,CA,0,1,29
275,finance,30,0,5,9,CO,1,1,34
276,web,0,1,0,9,CO,1,1,0.315
277,enterprise,0,0,3,21,CA,0,1,70
278,enterprise,10,1,6,1,CA,1,1,0
279,network_hosting,2,0,0,1,CA,0,1,0
280,enterprise,20,0,4,4,CA,1,1,1.31
282,web,0,0,2,1,CA,1,1,0
284,web,2,0,5,1,NY,0,1,0
285,games_video,0,0,3,4,TX,1,1,0
286,web,0,0,0,1,CA,0,1,0
287,games_video,0,0,0,1,MA,0,1,0
289,web,0,1,6,1,CA,1,1,0
291,ecommerce,0,0,6,15,CA,0,1,65
293,web,0,0,2,1,CA,0,1,0
294,web,0,0,2,1,TN,0,1,0
295,enterprise,50,0,3,3,CA,1,1,4.8
296,mobile,0,0,0,9,CA,0,1,75.3
297,software,100,0,3,1,FL,0,1,0
298,web,4,0,0,1,CA,0,1,0
299,web,0,1,0,1,VA,0,1,0
300,games_video,0,0,0,1,TX,0,1,0
301,network_hosting,55,1,0,1,NY,1,1,5.5
302,games_video,0,1,7,7,CA,1,1,12.7
303,web,12,0,0,2,CA,1,1,0.15
304,games_video,0,0,3,10,CA,1,1,50
305,enterprise,0,0,3,1,CA,1,1,0
306,advertising,70,0,12,13,IN,1,1,89
307,web,40,1,4,10,CA,1,1,28.3
308,web,12,1,0,1,CA,0,1,0
309,web,10,0,0,1,CA,0,1,0
310,advertising,0,0,4,10,CA,1,1,36.1
312,enterprise,1000,0,9,1,MA,1,1,0
313,software,350,0,37,18,CA,1,1,257
314,web,0,0,0,1,CA,1,1,0.01
316,other,300,0,0,16,CA,1,1,143
317,web,30,1,3,5,CA,1,1,12.4
318,web,0,0,0,2,CA,1,1,0
320,games_video,0,1,0,6,CA,0,1,25
321,games_video,0,0,3,1,CA,0,1,0
323,messaging,55,1,5,11,CA,1,1,26
325,search,0,0,11,1,CA,1,1,0
326,search,0,0,0,1,CA,1,1,0
327,web,2,0,0,1,PA,0,1,0
328,web,4,0,5,2,WA,1,1,1.31
330,web,70,0,12,8,CA,1,1,0.67
331,web,70,0,8,2,CA,1,1,25
332,web,2,0,2,1,MD,1,1,0
333,web,80,0,6,6,CA,1,1,40.8
334,games_video,20,1,5,7,CA,0,1,19
335,games_video,0,0,2,11,CA,0,1,4.5
336,advertising,0,0,2,5,CA,1,1,8.5
337,public_relations,0,0,2,9,CO,1,1,0.455
338,network_hosting,5,1,10,2,CO,1,1,0.415
339,web,14,1,0,6,CA,1,1,1.92
340,social,0,1,8,3,CA,1,1,1.42
341,ecommerce,0,0,0,1,CA,1,1,0.015
342,web,0,0,8,1,CA,1,1,0
343,games_video,0,0,2,1,PA,1,1,0
344,enterprise,70,0,0,13,MA,1,1,18.3
345,web,0,1,0,3,NY,1,1,1.95
346,web,0,0,0,1,CA,0,1,0
347,games_video,0,0,0,5,CA,0,1,24
348,enterprise,200,0,5,2,NY,1,1,20
349,finance,0,0,5,3,CA,1,1,9
350,software,60,0,2,12,NC,1,1,31.5
351,web,0,1,0,1,MN,0,1,0
353,search,0,0,3,1,CA,0,1,0
355,advertising,0,1,0,1,CA,0,1,6
357,web,0,0,2,2,CA,0,0,5
358,network_hosting,16,0,0,5,CA,1,1,8
359,web,0,0,0,1,CA,0,1,0
360,advertising,135,1,3,2,CA,0,1,11.5
361,analytics,0,0,0,15,NY,1,1,63.5
362,public_relations,0,0,0,3,CA,1,1,2
363,web,0,1,4,1,CA,1,1,0
364,network_hosting,800,1,21,1,CA,1,1,0
365,public_relations,0,1,0,1,CA,1,1,0
367,web,0,0,0,1,CA,0,1,0
368,web,10,1,3,3,CA,1,1,5.75
369,news,0,1,3,1,CA,1,1,0
370,games_video,0,0,0,1,NY,0,1,0
371,web,0,1,3,3,MA,0,1,27
372,search,800,0,5,5,MA,1,1,7
374,games_video,225,0,0,2,WA,1,1,40
375,web,40,1,6,6,CA,1,1,4
376,mobile,0,1,4,6,MA,1,1,26.5
378,web,0,0,2,5,CA,1,1,2.25
379,finance,0,0,3,10,MA,1,1,23.9
380,games_video,0,0,0,9,CA,0,1,48.9
381,games_video,0,1,0,13,CA,0,1,52.2
382,web,0,0,0,2,WA,0,1,4
383,enterprise,90,0,2,13,CO,1,1,39.3
384,web,0,1,0,4,TX,0,0,17
385,web,0,0,0,5,CA,0,0,12.6
386,web,0,0,0,7,CA,0,1,13.3
388,ecommerce,0,1,0,2,CA,0,1,3
389,web,0,1,0,1,CA,0,1,0
390,games_video,0,1,0,15,CA,0,1,78.6
391,web,0,1,0,5,CA,0,1,22.9
392,web,0,0,0,2,CA,0,1,11
393,web,0,0,6,4,CA,1,1,113
395,web,0,0,0,3,NY,1,1,33
396,web,0,0,0,1,NY,1,1,0
397,web,0,1,2,1,NY,0,1,0
398,hardware,0,1,0,2,CA,1,1,11.6
401,advertising,90,1,0,9,CA,0,1,17.6
402,search,500,0,10,12,CA,1,1,255
403,web,0,0,0,6,MD,0,1,38
404,web,0,1,0,1,CA,0,0,0
405,web,0,1,2,2,CA,0,1,6.7
406,web,0,0,0,1,NY,0,1,0
408,web,0,0,0,1,CA,0,1,0
409,web,0,0,7,1,CA,1,1,0
410,web,0,1,0,1,CA,0,0,0
411,advertising,230,0,0,18,CA,1,1,53.2
412,enterprise,600,0,0,1,MA,0,1,0
413,web,0,1,2,1,CA,0,1,0
414,web,13,1,0,1,WA,1,1,0
415,web,0,1,0,1,TX,1,1,0
417,games_video,15,0,4,3,NY,1,1,45
418,web,0,0,0,1,CA,0,1,3
419,web,0,0,0,1,CA,0,1,0
420,web,0,0,0,1,CA,0,0,0
422,web,0,1,7,1,CA,0,1,0
423,games_video,0,0,0,1,MA,0,1,14
425,web,264,1,0,1,FL,0,1,0
426,web,0,1,0,1,MA,0,1,0
427,games_video,12,1,5,1,CA,0,1,0
428,news,0,1,0,11,CA,0,1,20.9
429,web,550,0,4,12,CA,1,1,48
430,web,0,1,0,1,CA,0,1,0
431,web,0,1,0,1,CA,0,1,0
432,advertising,250,1,0,1,CA,0,1,0
433,advertising,0,1,0,1,NY,0,1,0
434,games_video,25,0,12,5,MA,0,1,10.5
435,advertising,300,0,2,3,MO,0,1,248
436,advertising,0,1,0,5,MA,1,1,7.9
438,games_video,8,0,0,1,WA,1,1,0
439,games_video,0,1,3,1,NY,0,1,0
440,web,6,0,0,1,MO,1,1,0
441,search,300,0,5,17,NC,1,1,75
442,messaging,0,0,5,11,SC,0,1,12
443,web,0,0,0,1,CA,0,1,0
444,enterprise,0,0,0,2,RI,1,1,0.85
445,web,0,1,0,1,CA,0,1,0
446,web,0,0,0,1,WA,0,1,0.175
448,web,0,0,0,1,CA,0,1,0
450,web,0,0,0,1,CA,0,1,7
451,advertising,0,1,3,5,MA,0,1,28.3
452,web,0,0,0,1,CA,0,1,0
454,network_hosting,0,0,0,2,WA,0,1,6.5
455,advertising,0,1,2,1,NY,0,1,10
456,web,0,0,0,1,MA,0,1,0
457,web,0,1,3,5,NY,0,1,19
458,music,70,1,5,13,NY,1,1,41.5
459,network_hosting,40,1,0,2,NY,0,1,4
460,advertising,0,1,0,1,MA,0,1,0
461,web,0,1,0,1,CA,0,1,0
462,web,0,0,0,1,MA,0,1,0
463,games_video,0,1,4,3,CA,1,1,7
464,web,0,0,0,1,CA,0,1,0
465,news,0,1,0,1,CA,0,1,127
466,web,0,1,4,1,NY,0,1,0
467,web,1,0,4,7,CA,0,1,12.7
469,web,0,1,0,1,CA,0,0,0
471,software,0,1,2,4,CA,1,1,4
472,web,0,1,3,1,GA,0,1,0
473,web,0,1,0,1,CA,0,1,0
474,mobile,0,0,0,1,WA,0,1,0
475,web,55,1,0,1,NY,1,1,13.5
476,web,0,1,0,1,CA,0,1,0
477,web,15,1,6,1,CA,1,1,0
478,web,5,0,0,2,WA,1,1,1.15
479,web,0,0,2,1,CA,1,1,0.55
480,hardware,0,0,0,11,TX,1,1,54
483,games_video,2,0,2,1,CA,0,1,0
484,games_video,0,0,0,1,MA,0,1,0
486,web,0,1,0,1,CA,0,1,0
487,enterprise,0,0,0,3,MA,1,1,26.8
488,games_video,50,1,0,17,NY,1,1,16.6
489,analytics,300,0,13,14,CA,1,1,122
490,enterprise,25,1,6,3,NY,1,1,12.3
492,mobile,20,1,2,2,CA,1,1,7.5
493,games_video,50,0,0,3,CA,0,1,4.8
494,web,0,1,0,1,CA,0,1,0
